Row Labels,Sum of inst_num,Sum of time,Sum of plan_cpu,Average of plan_cpu,Sum of plan_mem,Average of plan_mem
J14_9_10_12_13,385,44,300,100,1.77,0.59
J14_9_11_13,44,718,400,100,2.36,0.59
J14_9_13,485,110,400,100,2.36,0.59
J15_1,5,164,50,50,0.2,0.2
J15_1_12_14,80,279,250,83.33333333,1.48,0.493333333
J15_1_14,741,1290,600,85.71428571,3.44,0.491428571
J15_1_2,13,77,100,100,0.49,0.49
J15_1_2_14,846,1669,100,50,0.69,0.345
J15_1_2_3_14,3,139,50,50,0.3,0.3
J15_1_2_3_4_14,37,66,100,100,0.49,0.49
J15_1_2_3_6_13_14,6,177,200,100,1.18,0.59
J15_1_3_5_14,88,695,100,50,0.78,0.39
J15_1_5_14,5,75,250,50,1,0.2
J15_1_5_9_12_14,191,208,50,50,0.39,0.39
J15_10_11_14,1,565,50,50,0.2,0.2
J15_10_13_14,1,5,100,100,0.59,0.59
J15_10_14,28,1175,200,50,1.28,0.32
J15_11_12_13,5,6,200,66.66666667,0.89,0.296666667
J15_11_12_13_14,3,14,50,50,0.2,0.2
J15_11_12_14,172,1571,100,50,0.59,0.295
J15_11_13_14,475,110,250,83.33333333,1.38,0.46
J15_11_14,826,1135,500,62.5,3.33,0.41625
J15_12_13_14,3,322,50,50,0.2,0.2
J15_12_14,100,446,450,75,2.47,0.411666667
J15_13_14,2707,2367,2550,91.07142857,14.95,0.533928571
J15_14,6,165,600,100,3.54,0.59
J15_14_17,8,48,200,100,1.18,0.59
J15_14_27,2,585,100,50,0.6,0.3
